Painlocation,Agegroup,Intensity,Capacity,Exerciserecommendation,Frequency
Arthritis,18-30,Moderate,Moderate,Joint-Specific Exercises,Weekly
Arthritis,18-30,Moderate,Hard,Advanced Joint Program,Once in a while
Arthritis,30-50,Intense,Easy,Modified Joint Exercises,Daily
Arthritis,30-50,Intense,Moderate,Therapeutic Joint Protocol,Weekly
Arthritis,30-50,Intense,Hard,Specialized Arthritis Program,Rarely
Frozen Shoulder,Jan-18,Mild,Easy,Pendulum & ROM Exercises,Daily
Frozen Shoulder,Jan-18,Mild,Moderate,Active Assisted Stretching,Weekly
Frozen Shoulder,Jan-18,Mild,Hard,Progressive Mobility Work,Once in a while
Frozen Shoulder,18-30,Moderate,Easy,Modified Shoulder ROM,Daily
Frozen Shoulder,18-30,Moderate,Moderate,Shoulder Mobility Protocol,Weekly
Frozen Shoulder,18-30,Moderate,Hard,Advanced Shoulder Program,Once in a while
Frozen Shoulder,30-50,Intense,Easy,Gentle Shoulder Exercises,Daily
Frozen Shoulder,30-50,Intense,Moderate,Modified Shoulder Protocol,Weekly
Frozen Shoulder,30-50,Intense,Hard,Specialized Mobility Program,Rarely
Post-Surgery Rehab,Jan-18,Mild,Easy,Basic ROM & Stretching,Daily
Post-Surgery Rehab,Jan-18,Mild,Moderate,Progressive Strengthening,Weekly
Post-Surgery Rehab,Jan-18,Mild,Hard,Advanced Recovery Protocol,Once in a while
Post-Surgery Rehab,18-30,Moderate,Easy,Controlled Movement Pattern,Daily
Post-Surgery Rehab,18-30,Moderate,Moderate,Functional Strengthening,Weekly
Post-Surgery Rehab,18-30,Moderate,Hard,Sport-Specific Return,Once in a while
Post-Surgery Rehab,30-50,Intense,Easy,Modified Recovery Program,Daily
Post-Surgery Rehab,30-50,Intense,Moderate,Graduated Strengthening,Weekly
Post-Surgery Rehab,30-50,Intense,Hard,Advanced Rehab Protocol,Rarely
Shoulder Pain,Jan-18,Mild,Easy,Jumping Jack,Daily
Shoulder Pain,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Shoulder Pain,Jan-18,Mild,Hard,Bell Squat,Once in a while
Shoulder Pain,18-30,Mild,Easy,Jumping Jack,Daily
Shoulder Pain,18-30,Mild,Moderate,Bicep Curl,Weekly
Shoulder Pain,18-30,Mild,Hard,Squat,Once in a while
Shoulder Pain,30-50,Moderate,Easy,Jumping Jack,Weekly
Shoulder Pain,30-50,Moderate,Moderate,Bicep Curl,Weekly
Shoulder Pain,30-50,Moderate,Hard,Bell Squat,Once in a while
Shoulder Pain,50+,Intense,Easy,Jumping Jack,Rarely
Shoulder Pain,50+,Intense,Moderate,Bicep Curl,Weekly
Shoulder Pain,50+,Intense,Hard,Squat,Once in a while
Hip Pain,Jan-18,Mild,Easy,Jumping Jack,Daily
Hip Pain,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Hip Pain,Jan-18,Mild,Hard,Bell Squat,Once in a while
Hip Pain,18-30,Moderate,Easy,Jumping Jack,Daily
Hip Pain,18-30,Moderate,Moderate,Bicep Curl,Weekly
Hip Pain,18-30,Moderate,Hard,Squat,Once in a while
Hip Pain,30-50,Intense,Easy,Jumping Jack,Weekly
Hip Pain,30-50,Intense,Moderate,Bicep Curl,Weekly
Hip Pain,30-50,Intense,Hard,Bell Squat,Rarely
Hip Pain,50+,Intense,Easy,Jumping Jack,Daily
Hip Pain,50+,Intense,Moderate,Bicep Curl,Weekly
Hip Pain,50+,Intense,Hard,Squat,Rarely
Wrist Pain,Jan-18,Mild,Easy,Jumping Jack,Daily
Wrist Pain,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Wrist Pain,Jan-18,Mild,Hard,Bell Squat,Once in a while
Wrist Pain,18-30,Moderate,Easy,Jumping Jack,Daily
Wrist Pain,18-30,Moderate,Moderate,Bicep Curl,Weekly
Wrist Pain,18-30,Moderate,Hard,Squat,Once in a while
Wrist Pain,30-50,Intense,Easy,Jumping Jack,Daily
Wrist Pain,30-50,Intense,Moderate,Bicep Curl,Weekly
Wrist Pain,30-50,Intense,Hard,Bell Squat,Rarely
TMJ Pain,Jan-18,Mild,Easy,Jumping Jack,Daily
TMJ Pain,Jan-18,Mild,Moderate,Bicep Curl,Weekly
TMJ Pain,Jan-18,Mild,Hard,Bell Squat,Once in a while
TMJ Pain,18-30,Moderate,Easy,Jumping Jack,Daily
TMJ Pain,18-30,Moderate,Moderate,Bicep Curl,Weekly
TMJ Pain,18-30,Moderate,Hard,Squat,Once in a while
TMJ Pain,30-50,Intense,Easy,Jumping Jack,Daily
TMJ Pain,30-50,Intense,Moderate,Bicep Curl,Weekly
TMJ Pain,30-50,Intense,Hard,Bell Squat,Rarely
Fibromyalgia,Jan-18,Mild,Easy,Jumping Jack,Daily
Fibromyalgia,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Fibromyalgia,Jan-18,Mild,Hard,Bell Squat,Rarely
Fibromyalgia,18-30,Moderate,Easy,Jumping Jack,Daily
Fibromyalgia,18-30,Moderate,Moderate,Bicep Curl,Weekly
Fibromyalgia,18-30,Moderate,Hard,Squat,Rarely
Fibromyalgia,30-50,Intense,Easy,Jumping Jack,Daily
Fibromyalgia,30-50,Intense,Moderate,Bicep Curl,Weekly
Fibromyalgia,30-50,Intense,Hard,Bell Squat,Rarely
Sciatica,Jan-18,Mild,Easy,Jumping Jack,Daily
Sciatica,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Sciatica,Jan-18,Mild,Hard,Bell Squat,Once in a while
Sciatica,18-30,Moderate,Easy,Jumping Jack,Daily
Sciatica,18-30,Moderate,Moderate,Bicep Curl,Weekly
Sciatica,18-30,Moderate,Hard,Squat,Once in a while
Sciatica,30-50,Intense,Easy,Jumping Jack,Weekly
Sciatica,30-50,Intense,Moderate,Bicep Curl,Weekly
Sciatica,30-50,Intense,Hard,Bell Squat,Rarely
Plantar Fasciitis,Jan-18,Mild,Easy,Jumping Jack,Daily
Plantar Fasciitis,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Plantar Fasciitis,Jan-18,Mild,Hard,Bell Squat,Once in a while
Plantar Fasciitis,18-30,Moderate,Easy,Jumping Jack,Daily
Plantar Fasciitis,18-30,Moderate,Moderate,Bicep Curl,Weekly
Plantar Fasciitis,18-30,Moderate,Hard,Squat,Once in a while
Plantar Fasciitis,30-50,Intense,Easy,Jumping Jack,Daily
Plantar Fasciitis,30-50,Intense,Moderate,Bicep Curl,Weekly
Plantar Fasciitis,30-50,Intense,Hard,Bell Squat,Rarely
Carpal Tunnel,Jan-18,Mild,Easy,Jumping Jack,Daily
Carpal Tunnel,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Carpal Tunnel,Jan-18,Mild,Hard,Bell Squat,Once in a while
Carpal Tunnel,18-30,Moderate,Easy,Jumping Jack,Daily
Carpal Tunnel,18-30,Moderate,Moderate,Bicep Curl,Weekly
Carpal Tunnel,18-30,Moderate,Hard,Squat,Once in a while
Carpal Tunnel,30-50,Intense,Easy,Jumping Jack,Daily
Carpal Tunnel,30-50,Intense,Moderate,Bicep Curl,Weekly
Carpal Tunnel,30-50,Intense,Hard,Bell Squat,Rarely
Arthritis,Jan-18,Mild,Easy,Jumping Jack,Daily
Arthritis,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Arthritis,Jan-18,Mild,Hard,Bell Squat,Once in a while
Arthritis,18-30,Moderate,Easy,Jumping Jack,Daily
Arthritis,18-30,Moderate,Moderate,Bicep Curl,Weekly
Arthritis,18-30,Moderate,Hard,Squat,Once in a while
Arthritis,30-50,Intense,Easy,Jumping Jack,Daily
Arthritis,30-50,Intense,Moderate,Bicep Curl,Weekly
Arthritis,30-50,Intense,Hard,Bell Squat,Rarely
Frozen Shoulder,Jan-18,Mild,Easy,Jumping Jack,Daily
Frozen Shoulder,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Frozen Shoulder,Jan-18,Mild,Hard,Bell Squat,Once in a while
Frozen Shoulder,18-30,Moderate,Easy,Jumping Jack,Daily
Frozen Shoulder,18-30,Moderate,Moderate,Bicep Curl,Weekly
Frozen Shoulder,18-30,Moderate,Hard,Squat,Once in a while
Frozen Shoulder,30-50,Intense,Easy,Jumping Jack,Daily
Frozen Shoulder,30-50,Intense,Moderate,Bicep Curl,Weekly
Frozen Shoulder,30-50,Intense,Hard,Bell Squat,Rarely
Post-Surgery Rehab,Jan-18,Mild,Easy,Jumping Jack,Daily
Post-Surgery Rehab,Jan-18,Mild,Moderate,Bicep Curl,Weekly
Post-Surgery Rehab,Jan-18,Mild,Hard,Bell Squat,Once in a while
Post-Surgery Rehab,18-30,Moderate,Easy,Jumping Jack,Daily
Post-Surgery Rehab,18-30,Moderate,Moderate,Bicep Curl,Weekly
Post-Surgery Rehab,18-30,Moderate,Hard,Squat,Once in a while
Post-Surgery Rehab,30-50,Intense,Easy,Jumping Jack,Daily
Post-Surgery Rehab,30-50,Intense,Moderate,Bicep Curl,Weekly
Post-Surgery Rehab,30-50,Intense,Hard,Bell Squat,Rarely
